id,naam,straat,huisnr,postcode,plaats,lat,lon,soort
v-0268,Lieke Visser,Batenburg,74,4385HD,Vlissingen,51.46465,3.5727277,folder
v-0269,Iris Post,Bloemenlaan,89a,4382SG,Vlissingen,51.4535122,3.5727308,krant
v-0270,Lieke Vos,Scheldestraat,52b,4381RV,Vlissingen,51.448051,3.5735193,krant
v-0271,Kees Vos,Scheldestraat,52b,4381RV,Vlissingen,51.448051,3.5735193,krant
v-0272,Ada Smits,Nieuwe Vlissingseweg,115,4387AB,Vlissingen,51.4696473,3.595307,krant
v-0273,Pieter Smits,Nieuwe Vlissingseweg,115,4387AB,Vlissingen,51.4696473,3.595307,krant
v-0274,Carla Bakker,Talmalaan,29,4384KE,Vlissingen,51.4592337,3.5496186,krant
v-0275,Anna Peters,Suze Groeneweglaan,11,4385KB,Vlissingen,51.4635091,3.5634289,krant
v-0276,Femke de Bruin,Nieuwe Vlissingseweg,211,4387AE,Vlissingen,51.4735196,3.5972921,folder
v-0277,Hanna Jansen,Gravestraat,12,4381AP,Vlissingen,51.4421805,3.578488,folder
v-0278,Hendrik Vos,Adriaen Coortelaan,5-A136,4383SR,Vlissingen,51.4571449,3.571062,krant
v-0279,Ada Brouwer,Vincent van Goghlaan,289,4382SW,Vlissingen,51.4549014,3.5777911,folder
v-0280,Marijke Post,Groenewoud,38,4381HE,Vlissingen,51.442559,3.5756418,krant
v-0281,Els Post,Groenewoud,38,4381HE,Vlissingen,51.442559,3.5756418,krant
v-0282,Sanne Post,Van Doornlaan,6,4386AK,Vlissingen,51.4659863,3.5924521,krant
v-0283,Femke de Boer,Productweg,22,4387PG,Vlissingen,51.4718927,3.5901161,krant
v-0284,Carla de Boer,Productweg,22,4387PG,Vlissingen,51.4718927,3.5901161,folder
v-0285,Pieter Bakker,Haagland,34,4386GM,Vlissingen,51.4677455,3.5617459,folder
v-0286,Anna Bakker,Westerzicht,131,4385AD,Vlissingen,51.4634699,3.584835,krant
v-0287,Hendrik Smits,Kanariesprenk,229,4386DK,Vlissingen,51.4664837,3.5780282,krant
v-0288,Anna de Wit,Coosje Buskenstraat,43a,4381LB,Vlissingen,51.4441571,3.5695442,krant
v-0289,Sem de Vries,Vredehoflaan,822,4382CK,Vlissingen,51.454025,3.5602482,krant
v-0290,Lieke van Leeuwen,Schutterijstraat,113,4381GM,Vlissingen,51.4441845,3.5716124,krant
v-0291,Ada Kuipers,Kasteelstraat,38,4381RD,Vlissingen,51.4467722,3.5729792,krant
v-0292,Bram Jansen,Wilhelminastraat,67,4381BN,Vlissingen,51.4430548,3.5772531,krant
v-0293,Els Brouwer,Sabalaan,1,4383AN,Vlissingen,51.4557798,3.5569233,folder
v-0294,Sem Brouwer,Sabalaan,1,4383AN,Vlissingen,51.4557798,3.5569233,folder
v-0295,Sem Brouwer,Sabalaan,1,4383AN,Vlissingen,51.4557798,3.5569233,krant
v-0296,Kees Visser,De Meesterstraat,45,4384HG,Vlissingen,51.4618941,3.5516682,krant
v-0297,Teun Mulder,Boulevard De Ruyter,228,4381KH,Vlissingen,51.4408941,3.5705305,krant
v-0298,Marijke van der Meer,Prins Hendrikweg,2-410,4382NS,Vlissingen,51.4487986,3.5870802,krant
v-0299,Jan de Vries,Stadhuisplein,22-K108,4382LJ,Vlissingen,51.4479586,3.5683277,krant
v-0300,Bram de Groot,Goeman Borgesiusstraat,43,4384JM,Vlissingen,51.4616358,3.5490277,krant
v-0301,Pieter Hendriks,Toutenburg,34,4385GK,Vlissingen,51.4635038,3.5740885,krant
v-0302,Hendrik Hendriks,Toutenburg,34,4385GK,Vlissingen,51.4635038,3.5740885,krant
v-0303,Els Vos,Irislaan,177,4383VT,Vlissingen,51.4565876,3.5769428,krant
v-0304,Sanne Vos,Irislaan,177,4383VT,Vlissingen,51.4565876,3.5769428,krant
v-0305,Femke Bos,Verkuijl Quakkelaarstraat,13,4381PJ,Vlissingen,51.4476348,3.570173,krant
v-0306,Pieter de Boer,Bouwen Ewoutstraat,82,4381PS,Vlissingen,51.4479125,3.572955,krant
v-0307,Carla Bakker,Oranjedijk,60,4381AV,Vlissingen,51.4409354,3.5777619,krant
v-0308,Marijke de Groot,Boulevard Evertsen,12,4382AD,Vlissingen,51.4489326,3.56105,krant
v-0309,Marijke de Groot,Boulevard Evertsen,12,4382AD,Vlissingen,51.4489326,3.56105,folder
v-0310,Teun van Dijk,Boulevard Bankert,618,4382AC,Vlissingen,51.4478163,3.5622209,folder
v-0311,Daan Kuipers,Jan Allemanstraat,1-G10,,Vlissingen,51.4441668,3.5769553,krant
v-0312,Lieke Smits,Schuitvaartgracht,383,4383BX,Vlissingen,51.4562372,3.5685551,krant
v-0313,Els Visser,President Rooseveltlaan,756,4382VX,Vlissingen,51.4551605,3.578955,krant
v-0314,Otto Visser,President Rooseveltlaan,756,4382VX,Vlissingen,51.4551605,3.578955,krant
v-0315,Otto Visser,President Rooseveltlaan,756,4382VX,Vlissingen,51.4551605,3.578955,folder
v-0316,Hendrik van den Berg,Albionkade,329,4381KZ,Vlissingen,51.4460904,3.5824334,folder
v-0317,Hendrik van den Berg,Albionkade,329,4381KZ,Vlissingen,51.4460904,3.5824334,krant
v-0318,Ada de Vries,Heideveld,10,4386GP,Vlissingen,51.4681681,3.5627959,krant
v-0319,Niels Bakker,Clijverstraat,10,4381PW,Vlissingen,51.4468242,3.5716213,folder
v-0320,Kees Peters,Gerrit Rietveldstraat,63,4383CE,Vlissingen,51.4569093,3.5666599,folder
v-0321,Iris de Boer,Strandwal,95,4386HJ,Vlissingen,51.4686565,3.5653169,folder
v-0322,Johanna Hendriks,Hercules Segherslaan,242,4383VS,Vlissingen,51.4560867,3.5764349,krant
v-0323,Pieter Post,Zuidbeekseweg,10,4386ND,Vlissingen,51.4641614,3.5610304,folder
v-0324,Willem Dijkstra,Westerstraat,15,4381JX,Vlissingen,51.4416902,3.5708525,krant
v-0325,Sanne Visser,De Meesterstraat,1-G2,,Vlissingen,51.4619661,3.5515184,krant
v-0326,Lieke de Bruin,Vredehoflaan,152,4382CH,Vlissingen,51.4529535,3.5604661,krant
v-0327,Otto Kuipers,Tak van Poortvlietstraat,15,4384CL,Vlissingen,51.4610453,3.555064,krant
v-0328,Ada Smits,Boulevard De Ruyter,192,4381KG,Vlissingen,51.440848,3.5705679,krant
v-0329,Roos de Bruin,Piet Heinkade,21,4381NC,Vlissingen,51.4424276,3.5913013,krant
v-0330,Kees Brouwer,Hendrikstraat,70,4381AB,Vlissingen,51.4432389,3.5787939,krant
v-0331,Els de Groot,Nieuwe Vlissingseweg,57,4387AA,Vlissingen,51.468126,3.5944983,krant
v-0332,Iris Smits,Schuitvaartgracht,1,4382GG,Vlissingen,51.4492359,3.5664393,krant
v-0333,Johanna Brouwer,Bossenburg,48,4385EA,Vlissingen,51.462106,3.5759823,krant
v-0334,Iris Mulder,Goeman Borgesiusstraat,85,4384JN,Vlissingen,51.462149,3.548306,krant
v-0335,Femke Bos,Vredehoflaan,670,4382CK,Vlissingen,51.4541902,3.5599594,krant
v-0336,Teun Jansen,Sterkenburg,66,4385GG,Vlissingen,51.4625899,3.5731846,krant
v-0337,Otto Visser,Gasthuisstraat,17-G15,,Vlissingen,51.4424824,3.5695676,krant
v-0338,Lieke Post,Coosje Buskenstraat,88,4381LG,Vlissingen,51.4438625,3.5696447,krant
v-0339,Teun van den Berg,Prins Hendrikweg,2-505,4382NS,Vlissingen,51.4487451,3.5866647,krant
v-0340,Teun van den Berg,Prins Hendrikweg,2-505,4382NS,Vlissingen,51.4487451,3.5866647,folder
v-0341,Niels van der Meer,Pablo Picassoplein,53,4382KB,Vlissingen,51.4529235,3.5667547,krant
v-0342,Hanna Dekker,Kreekrug,31,4386GR,Vlissingen,51.4692055,3.562854,folder
v-0343,Hanna Dekker,Kreekrug,31,4386GR,Vlissingen,51.4692055,3.562854,krant
v-0344,Hanna Peters,Paul Krugerstraat,49,4382MB,Vlissingen,51.449597,3.5734349,krant
v-0345,Pieter Mulder,De Beaufortstraat,37-G13,,Vlissingen,51.4601653,3.5565248,krant
v-0346,Johanna van den Berg,Westerzicht,721,4385CD,Vlissingen,51.4603923,3.584695,krant
v-0347,Anna van den Berg,Westerzicht,721,4385CD,Vlissingen,51.4603923,3.584695,folder
v-0348,Sem Bakker,Schutterijstraat,163,4381GN,Vlissingen,51.4441152,3.5714877,folder
v-0349,Hanna Mulder,Crocuslaan,7,4382VA,Vlissingen,51.4517865,3.5740052,krant
v-0350,Hanna de Vries,Anjelierenlaan,32,4382PX,Vlissingen,51.4527976,3.5706387,krant
v-0351,Marijke de Vries,Duijvendrechtstraat,19,4382ET,Vlissingen,51.4497626,3.56592,folder
v-0352,Ada Vos,Hobeinstraat,99,4381PC,Vlissingen,51.4471834,3.5693285,krant
v-0353,Willem Brouwer,Tak van Poortvlietstraat,7,4384CL,Vlissingen,51.4608445,3.5551071,krant
v-0354,Hendrik Mulder,Marnixplein,15,4386AA,Vlissingen,51.4645544,3.591974,krant
v-0355,Roos Peters,Schaepmanstraat,185,4384CZ,Vlissingen,51.4626525,3.5554395,folder
v-0356,Hanna Post,Schaepmanstraat,183,4384CZ,Vlissingen,51.4625712,3.5553645,krant
v-0357,Iris van Leeuwen,Meidoornlaan,27,4382TJ,Vlissingen,51.452639,3.5770921,folder
v-0358,Femke van den Berg,Pablo Picassoplein,49,4382KB,Vlissingen,51.4532801,3.5665865,krant
v-0359,Carla van der Meer,Gerbrandystraat,63,4384NC,Vlissingen,51.4629073,3.5586707,folder
v-0360,Johanna van der Meer,Gerbrandystraat,63,4384NC,Vlissingen,51.4629073,3.5586707,krant
v-0361,Lieke van der Meer,Batenburg,69,4385HG,Vlissingen,51.4649276,3.5724551,folder
v-0362,Bram van Leeuwen,Boulevard De Ruyter,32,4381KB,Vlissingen,51.4405309,3.5719656,folder
v-0363,Femke Mulder,President Rooseveltlaan,1-T,,Vlissingen,51.4536798,3.556695,folder
v-0364,Els van Dijk,Sarazijnstraat,11,4381CL,Vlissingen,51.4413345,3.5747318,krant
v-0365,Anna Visser,Singel,2,4382LA,Vlissingen,51.4476863,3.5664198,krant
v-0366,Pieter Kuipers,Paul Krugerstraat,303,4382MJ,Vlissingen,51.4503121,3.5819666,folder
v-0367,Gijs Kuipers,Paul Krugerstraat,303,4382MJ,Vlissingen,51.4503121,3.5819666,krant
v-0368,Gijs de Groot,Boulevard Bankert,540,4382AC,Vlissingen,51.4476346,3.5622224,krant
v-0369,Otto Bos,Singel,355,4381VK,Vlissingen,51.4498289,3.579696,krant
v-0370,Hendrik Peters,Vredehoflaan,542,4382CJ,Vlissingen,51.4535992,3.5613467,krant
v-0371,Iris van den Berg,Verholen Vliet,32,4382NJ,Vlissingen,51.4521877,3.6034691,folder
v-0372,Niels Bos,Paul Krugerstraat,409,4382ML,Vlissingen,51.4499795,3.5840321,krant
v-0373,Gijs van Dijk,Koudekerkseweg,2-5,4382EB,Vlissingen,51.4482064,3.5657007,krant
v-0374,Kees Dekker,Anna Blamanlaan,106,4385KK,Vlissingen,51.4593156,3.5607451,krant
v-0375,Hanna de Groot,Abraham Kuyperstraat,2-G7,,Vlissingen,51.4642626,3.5554896,krant
v-0376,Bram Brouwer,Westerzicht,813,4385CG,Vlissingen,51.4624426,3.5831977,krant
v-0377,Johanna Dekker,Coosje Buskenstraat,1,4381LA,Vlissingen,51.4438504,3.5688312,krant
v-0378,Els Bakker,President Rooseveltlaan,762a,4382VX,Vlissingen,51.4550753,3.5794409,krant
v-0379,Niels Vos,Lunenburg,30,4385EP,Vlissingen,51.4614701,3.5727479,krant
v-0380,Kees de Boer,Menno van Coehoorngracht,22,4383BS,Vlissingen,51.4559914,3.5650108,krant
v-0381,Bram Hendriks,Van Hallstraat,1,4384BL,Vlissingen,51.4577257,3.5548369,krant
v-0382,Hanna Bakker,Martin Luther Kingstraat,72,4384HV,Vlissingen,51.4655655,3.554225,krant
v-0383,Johanna Hendriks,Van der Manderestraat,13a,4381VR,Vlissingen,51.4491657,3.5740853,krant
v-0384,Iris Brouwer,Groen van Prinstererlaan,14,4384CG,Vlissingen,51.4581434,3.5540861,krant
v-0385,Otto van den Berg,Tooroplaan,20,4382VR,Vlissingen,51.4541623,3.577838,krant
v-0386,Sem Hendriks,Van Dishoeckstraat,180,4381VA,Vlissingen,51.4476634,3.579011,krant
v-0387,Kees Peters,Rubenslaan,154,4383WH,Vlissingen,51.4591088,3.5737063,krant
v-0388,Sanne de Groot,Grenswegeling,10,4384NA,Vlissingen,51.4602714,3.5596708,krant
v-0389,Iris van den Berg,Abraham Kuyperstraat,2-G10,,Vlissingen,51.4642286,3.555377,krant
v-0390,Femke Dijkstra,Rembrandtlaan,5,4382RL,Vlissingen,51.4532914,3.5694836,krant
v-0391,Daan de Bruin,Nieuwe Kruidmolenweg,1d,4382WB,Vlissingen,51.4544477,3.6029342,krant
v-0392,Sem Bos,Pablo Picassoplein,9,4382KB,Vlissingen,51.4530342,3.5668394,krant
v-0393,Sem Bos,Pablo Picassoplein,9,4382KB,Vlissingen,51.4530342,3.5668394,folder
v-0394,Kees Brouwer,Nieuwstraat,116,4381CW,Vlissingen,51.4419367,3.5758852,krant
v-0395,Carla Brouwer,Nieuwstraat,116,4381CW,Vlissingen,51.4419367,3.5758852,folder
v-0396,Carla Brouwer,Nieuwstraat,116,4381CW,Vlissingen,51.4419367,3.5758852,krant
v-0397,Marijke de Wit,Emmastraat,25,4381BD,Vlissingen,51.4417558,3.5781901,krant
v-0398,Hendrik de Wit,Emmastraat,25,4381BD,Vlissingen,51.4417558,3.5781901,folder
v-0399,Sem de Wit,Emmastraat,25,4381BD,Vlissingen,51.4417558,3.5781901,folder
